Repository,Framework,Created At
orderpad/partnerappdetails,none,2025-04-17T12:20:28Z
orderpad/orderpaddeliveryupdatesworker,none,2025-06-03T12:13:52Z
orderpad/PartnerAppDevice,none,2025-08-07T13:24:35Z
orderpad/partnerappfilestore,none,2025-11-14T10:13:21Z
PlatformEngineering/config,none,2016-02-08T14:29:40Z
PlatformEngineering/Generated-Configuration,none,2016-03-21T11:15:13Z
PlatformEngineering/JustEat.Extensions.Configuration.AppSettings,none,2016-07-15T13:15:27Z
PlatformEngineering/JustEat.Extensions.Configuration.HttpReload,none,2016-07-15T13:15:50Z
PlatformEngineering/JustEat.Extensions.Configuration.Vault,none,2016-07-15T13:16:08Z
PlatformEngineering/lambda-logger,none,2016-10-13T14:42:37Z
PlatformEngineering/JE.Consul.Example,none,2017-01-11T17:30:21Z
PlatformEngineering/JE.Lambda.DataSync,none,2017-04-28T10:23:55Z
PlatformEngineering/JE.DynamoDB.Tools,none,2017-05-10T08:37:53Z
PlatformEngineering/rpmbuild,none,2017-06-19T08:54:51Z
PlatformEngineering/JE.Lambda.HouseKeeper,none,2017-12-12T12:21:32Z
PlatformEngineering/JE.ServiceRoles,none,2018-01-25T14:51:58Z
PlatformEngineering/gobuild,none,2018-08-07T09:46:11Z
PlatformEngineering/HandyScripts,none,2018-11-27T09:52:35Z
PlatformEngineering/S3-backup-scripts,none,2019-09-16T15:13:24Z
PlatformEngineering/FlattenConfigFile,none,2020-01-10T14:13:31Z
PlatformEngineering/SecretsLoadTester,none,2020-03-04T16:33:30Z
PlatformEngineering/SecretsConfigLoadTest,none,2020-03-12T13:57:41Z
PlatformEngineering/udp_repeater,none,2020-03-25T12:13:37Z
PlatformEngineering/SES-Reporting,none,2020-04-27T09:54:15Z
PlatformEngineering/secretsmanagementmysql,none,2020-09-15T14:47:41Z
PlatformEngineering/ConsulAclBot,none,2021-02-16T15:50:17Z
PlatformEngineering/local-dev,none,2021-09-23T14:44:17Z
PlatformEngineering/netbox-docker,none,2022-04-19T12:58:00Z
PlatformEngineering/just-delEat-process,none,2022-09-08T08:45:22Z
PlatformEngineering/github-action-manual-approval,none,2022-09-12T14:40:57Z
PlatformEngineering/just-delEat,none,2022-09-29T12:43:31Z
PlatformEngineering/platform-engineering-docs,none,2022-10-06T13:54:31Z
PlatformEngineering/platformengineeringtestapplication,none,2023-01-26T16:37:39Z
PlatformEngineering/secretsmanagementmssql,none,2023-01-30T10:24:52Z
PlatformEngineering/platengtestdotnetapp,none,2023-02-06T11:36:21Z
PlatformEngineering/eksalerts,none,2023-04-27T13:55:57Z
PlatformEngineering/core-platform-services-uk-docs,none,2023-05-18T14:04:41Z
PlatformEngineering/consul-generator,none,2023-05-26T14:44:47Z
PlatformEngineering/MPOTEST,none,2023-06-22T02:20:03Z
PlatformEngineering/secretsmanagementconsulbackup,none,2023-06-22T05:23:56Z
PlatformEngineering/acm-certificates,none,2023-07-10T13:41:59Z
PlatformEngineering/istio,none,2023-08-17T05:17:50Z
PlatformEngineering/just-automate,none,2023-08-19T13:29:55Z
PlatformEngineering/eksvault,none,2023-08-29T11:00:33Z
PlatformEngineering/accountcerts,none,2023-10-25T14:44:01Z
PlatformEngineering/netbox,none,2023-10-27T10:11:04Z
PlatformEngineering/oneeksdocs,none,2024-04-16T14:14:20Z
PlatformEngineering/S3Backup,none,2024-04-30T09:17:28Z
PlatformEngineering/oneeks-tutorials,none,2024-05-07T10:34:54Z
PlatformEngineering/OneBoarding,none,2024-07-25T07:34:41Z
PlatformEngineering/kubecost,none,2024-07-30T12:47:10Z
PlatformEngineering/platengdotnettestrefarch,none,2024-12-09T11:05:14Z
PlatformEngineering/sonicorchestrator,none,2025-02-13T11:41:22Z
PlatformEngineering/sonicorchestratortestapplication,none,2025-02-13T11:47:37Z
PlatformEngineering/sonic-portal,react,2025-02-17T12:22:08Z
PlatformEngineering/sonicportalapi,none,2025-02-19T09:43:58Z
PlatformEngineering/sonic-automation-test,none,2025-02-20T11:34:23Z
PlatformEngineering/sonic-projects,none,2025-02-26T11:10:54Z
PlatformEngineering/sonicportal,none,2025-02-27T14:37:23Z
PlatformEngineering/sonictestapp,none,2025-03-06T15:06:16Z
PlatformEngineering/oneeksdocs-test,none,2025-03-19T15:47:37Z
PlatformEngineering/metadata,none,2025-03-19T20:32:41Z
PlatformEngineering/snowplowcdn,none,2025-03-20T17:26:43Z
PlatformEngineering/iglu,none,2025-03-27T21:21:32Z
PlatformEngineering/sonicportalhedgy,none,2025-04-08T12:27:00Z
PlatformEngineering/sonic-eventbridge,none,2025-04-10T09:53:56Z
PlatformEngineering/sonicscaffolder,none,2025-04-10T10:34:20Z
PlatformEngineering/temp-sonicorchestrator,none,2025-04-28T12:39:25Z
PlatformEngineering/sonic-worker,none,2025-04-30T14:59:39Z
PlatformEngineering/jetjs-project,none,2025-05-01T17:49:50Z
PlatformEngineering/sonicmarketing,react,2025-05-11T13:30:47Z
PlatformEngineering/Testmichaelfirstcomponent,none,2025-05-17T19:25:33Z
PlatformEngineering/sonicorchestratortestapplication-features,none,2025-05-21T11:20:16Z
PlatformEngineering/testmichaeltwo,none,2025-05-21T12:43:24Z
PlatformEngineering/sonicloadtest,none,2025-06-17T07:30:36Z
PlatformEngineering/test-different-repo-name,none,2025-06-26T08:58:50Z
PlatformEngineering/refarcmigration,none,2025-06-29T11:59:00Z
PlatformEngineering/TenBis.Infra.AWS.Test.Service.Evg,none,2025-07-16T09:42:47Z
PlatformEngineering/sonicworkflows,none,2025-07-17T08:45:53Z
PlatformEngineering/ChangeLog,none,2025-07-17T16:48:47Z
PlatformEngineering/sonicinsightsapi,none,2025-07-17T17:51:26Z
PlatformEngineering/SlackUp,none,2025-07-17T18:42:10Z
PlatformEngineering/TenBis.Infra.AWS.Test.Service,none,2025-07-21T09:48:54Z
PlatformEngineering/sonicportaltestapplication,none,2025-07-21T12:09:57Z
PlatformEngineering/goldenpathdotnet,none,2025-07-31T15:23:24Z
PlatformEngineering/orderholdereks,none,2025-08-03T10:52:40Z
PlatformEngineering/evg-migration-goldenpath-test-03,none,2025-08-07T10:41:40Z
PlatformEngineering/TenBis.Infra.AWS.Test.Service.Test03,none,2025-08-07T15:43:42Z
PlatformEngineering/TenBis.Infra.AWS.Test.Service.Test04,none,2025-08-11T10:11:18Z
PlatformEngineering/sonicspec,none,2025-08-15T08:52:12Z
PlatformEngineering/test-roman-unified-webhook,none,2025-08-22T07:37:44Z
PlatformEngineering/sonicdocumentation,none,2025-08-28T18:45:16Z
PlatformEngineering/java21-api-template-test,none,2025-09-09T09:48:11Z
PlatformEngineering/SonicArgoStaging,none,2025-09-12T08:19:58Z
PlatformEngineering/SonicScaffolderPlaygroundCleanup,none,2025-09-17T13:05:06Z
PlatformEngineering/SonicArgoProduction,none,2025-10-06T12:15:54Z
PlatformEngineering/sonicorchsandboxapp,none,2025-10-07T13:31:11Z
PlatformEngineering/JvmScaffolder,none,2025-10-16T15:56:35Z
PlatformEngineering/bedrock_aip_tf,none,2025-10-16T22:08:05Z
PlatformEngineering/sonicportal-test-reports,none,2025-10-22T11:11:19Z
PlatformEngineering/sonicjs-project,none,2025-10-22T16:48:18Z
PlatformEngineering/testorchestratorargocd,none,2025-10-28T08:53:26Z
PlatformEngineering/jTest-sonic-onboarding,none,2025-11-06T21:00:01Z
PlatformEngineering/testmonorepo,none,2025-11-20T07:43:31Z
PlatformEngineering/monorepo,none,2025-11-24T12:59:56Z
PlatformEngineering/monoreposecondcomponent,none,2025-11-26T07:51:49Z
PlatformEngineering/monorepotwo,none,2025-11-27T08:25:10Z
PlatformEngineering/.github,none,2025-11-27T13:40:22Z
PlatformEngineering/monorepotestjava,none,2025-11-27T15:50:57Z
PlatformEngineering/SonicArgoSandbox,none,2025-12-02T11:14:45Z
PlatformEngineering/SonicHedgy,none,2025-12-04T11:23:13Z
PlatformEngineering/monorepo_python,none,2025-12-04T19:29:43Z
SOC/Access,none,2016-01-27T16:27:57Z
SOC/grafana,none,2016-02-19T06:55:49Z
SOC/launchtower,none,2016-04-06T07:34:10Z
SOC/soc-paging-dashboard-Deprecated,none,2016-04-07T11:28:28Z
SOC/Scripting,none,2016-04-26T18:27:49Z
SOC/dashing,none,2016-05-20T09:53:47Z
SOC/opsweekly,none,2016-06-06T13:45:14Z
SOC/ZZZ---network-failover-tool,none,2016-06-15T08:50:58Z
SOC/Friction-AI-Deprecated,none,2016-07-18T23:58:45Z
SOC/ZZZ---Admin-Console-Deprecated,none,2016-07-19T00:25:21Z
SOC/aws_paas,none,2016-08-01T11:24:24Z
SOC/AWS_IaC_SOC,none,2016-08-01T17:43:14Z
SOC/RunBooks,none,2016-09-01T07:32:01Z
SOC/HipChatArchiveTool,none,2017-04-26T15:44:54Z
SOC/CustomEventsToAppDynamics,none,2017-06-07T06:56:16Z
SOC/alertstoelasticsearch,none,2017-09-15T09:44:39Z
SOC/WargameScripts,none,2017-09-26T08:03:00Z
SOC/calendar2pagerdreminder,none,2017-10-05T09:39:58Z
SOC/pingdom2hipchat,none,2017-10-16T14:15:00Z
SOC/awssupport2jira,none,2017-10-30T12:54:40Z
SOC/AwsSupport2JiraIAMRoles,none,2017-11-30T21:45:04Z
SOC/AutoRecap-Deprecated,none,2018-01-31T14:45:26Z
SOC/grafanaplugin,none,2018-02-19T14:59:05Z
SOC/AWSJiraIntegration,none,2018-04-30T12:55:53Z
SOC/AWS-Limit-Monitor,none,2018-09-17T15:58:14Z
SOC/PostToHipchatLambda,none,2018-10-11T09:46:57Z
SOC/SOCCommander,none,2018-10-16T16:04:55Z
SOC/Ansible,none,2018-10-24T16:28:38Z
SOC/CloudfrontIPRangesChecker,none,2018-11-12T09:17:34Z
SOC/Jira-Mentions,none,2018-12-04T11:33:10Z
SOC/dashboarding,none,2019-01-10T18:15:13Z
SOC/SOC-Inventory,none,2019-01-24T08:47:00Z
SOC/SOC_KPI,none,2019-01-24T10:03:16Z
SOC/topic-set-lambda,none,2019-02-05T19:05:16Z
SOC/SOCJiraWorker,none,2019-02-14T08:58:42Z
SOC/CDN_failover_ansible_poc,none,2019-03-01T17:22:09Z
SOC/practi,none,2019-04-16T08:35:38Z
SOC/Cloudfront-Python-Lambdas,none,2019-05-15T05:34:18Z
SOC/CDNStatusCheck,none,2019-06-11T12:31:20Z
SOC/CDNSmokeTest,none,2019-07-04T13:14:20Z
SOC/soc-code-katas,none,2019-07-08T13:22:23Z
SOC/Python-Jira,none,2019-08-22T14:25:42Z
SOC/CloudfrontLambda,none,2019-10-14T14:16:49Z
SOC/AWSHealthAPIIntegration,none,2019-10-14T14:22:02Z
SOC/RedAlerter,none,2019-10-15T13:29:28Z
SOC/autoserenova,none,2019-10-25T07:05:02Z
SOC/image-emergency,none,2019-10-25T14:24:31Z
SOC/requestslayer,none,2019-10-25T15:52:36Z
SOC/AssumeRole,none,2019-10-26T08:11:07Z
SOC/Schedule_override_UK,none,2019-11-06T14:13:58Z
SOC/globalwatchtoweriamroles,none,2019-11-12T16:35:40Z
SOC/awx,none,2019-11-13T14:32:23Z
SOC/gwt-ecs-deploy,none,2019-12-28T18:42:56Z
SOC/Risk_Accept_Report_SP,none,2020-03-23T15:27:47Z
SOC/consul-verification-layer,none,2020-04-18T12:46:28Z
SOC/Risk_Accept_Report_PI,none,2020-06-23T08:02:26Z
SOC/config,none,2020-08-08T11:54:45Z
SOC/googleapiclient,none,2020-09-01T08:02:41Z
SOC/socpythonlayers,none,2020-09-03T08:40:21Z
SOC/OfflineCollection,none,2020-10-11T09:28:49Z
SOC/lambdaextensionspoc,none,2020-10-13T10:03:39Z
SOC/ctk-k8s-crd,none,2020-12-16T15:09:22Z
SOC/WAF_Overrider,none,2021-01-03T20:15:07Z
SOC/pingdom_checks_data_analysis,none,2021-07-23T13:16:11Z
SOC/soc-browser-extension,none,2021-12-02T10:49:21Z
SOC/OfflinePd,none,2022-02-03T14:48:33Z
SOC/marketplace-bookmarks,none,2022-02-14T09:36:08Z
SOC/Jira_Mentions2,none,2022-05-12T09:14:33Z
SOC/blackbox,none,2022-08-22T09:43:47Z
SOC/homarr,none,2022-09-12T13:20:41Z
SOC/ansible-learning,none,2022-09-26T06:46:27Z
SOC/intRecaptcha,none,2022-11-04T09:00:57Z
SOC/watchtower_collection_sandbox,none,2022-11-18T12:18:18Z
SOC/Obsidian-Vaults,none,2023-01-16T09:00:57Z
SOC/autoSSH-autoSetup,none,2023-02-24T08:43:24Z
SOC/sandboxslackapptest,none,2023-03-29T15:10:21Z
SOC/Obsidian-Vault,none,2023-04-21T08:53:48Z
SOC/globalstatusdashboardhack,none,2023-05-02T12:57:39Z
SOC/SOC-PORTAL,none,2023-05-31T21:24:20Z
SOC/ScheduleIntegrations,none,2023-06-06T08:06:35Z
SOC/SOCWatchdog,none,2023-06-15T11:29:26Z
SOC/customercarecommand,none,2023-07-25T18:20:13Z
SOC/HomarrV2,none,2023-09-10T10:05:19Z
SOC/github-includes,none,2023-10-05T08:12:38Z
SOC/SOCannotator,none,2024-01-25T11:53:49Z
SOC/socautopythonlayer,none,2024-02-03T17:21:30Z
SOC/python_exercises,none,2024-05-07T23:32:49Z
AssuranceServices/FakeLoad,none,2016-09-19T15:15:54Z
AssuranceServices/Rambo-WebUI,angular,2016-11-29T09:51:13Z
AssuranceServices/Shared-Build-Scripts,none,2016-11-29T09:53:33Z
AssuranceServices/FakeLoad-Plans,none,2016-11-29T14:54:25Z
AssuranceServices/Rambo-Server,none,2016-11-29T14:54:38Z
AssuranceServices/Rambo-Container,none,2016-11-30T12:50:18Z
AssuranceServices/Rambo-JMeter,none,2016-11-30T14:53:20Z
AssuranceServices/Rambo-Server.IntegrationTest,none,2017-01-19T11:01:27Z
AssuranceServices/Rambo-Grafana,none,2017-01-20T09:23:08Z
AssuranceServices/RamboAgentRole,none,2017-06-30T08:23:38Z
AssuranceServices/Rambo-Cache,none,2017-11-15T09:22:39Z
AssuranceServices/JE.TestDataGenerator,none,2018-03-22T09:12:28Z
AssuranceServices/testordercanceller,none,2018-10-30T12:04:58Z
AssuranceServices/Taurus-Container,none,2018-12-24T13:51:31Z
AssuranceServices/scalefeatures,none,2019-10-31T11:18:25Z
AssuranceServices/Sitespeed-Container,none,2019-12-05T12:15:03Z
AssuranceServices/Taurus-Runner,none,2021-04-28T12:23:26Z
AssuranceServices/Artillery-Container,none,2022-07-21T10:37:25Z
AssuranceServices/K6-Container,none,2024-01-12T13:10:30Z
AssuranceServices/Gatling,none,2024-01-19T20:26:51Z
AssuranceServices/GatlingOneWeb,none,2024-01-30T18:06:23Z
AssuranceServices/k6-Wikipedia,none,2024-02-14T21:16:51Z
AssuranceServices/k6-OneWeb,none,2024-02-22T13:45:12Z
AssuranceServices/Gatling-Container,none,2024-04-15T13:30:35Z
AssuranceServices/JE.DataChef,none,2024-04-30T13:56:35Z
AssuranceServices/cypress-partner-creation,none,2024-07-18T10:54:42Z
AssuranceServices/jetloadtestingmgmt,none,2024-10-02T21:04:47Z
AssuranceServices/shared-load-tests,none,2025-01-15T09:53:05Z
AssuranceServices/jet-k6,none,2025-04-03T06:41:46Z
AssuranceServices/k6-demos,none,2025-05-14T07:17:10Z
AssuranceServices/k6-templates,none,2025-07-14T11:02:56Z
DPD-AI-Algorithms/JE.MenuOntology.BulkImporter,none,2016-09-28T16:01:44Z
DPD-AI-Algorithms/api_menuontology,none,2016-10-04T13:05:19Z
DPD-AI-Algorithms/app_menuontologyprototypes,none,2016-11-21T11:58:20Z
DPD-AI-Algorithms/config,none,2017-01-03T16:57:21Z
DPD-AI-Algorithms/util_menuontology,none,2017-01-20T14:25:02Z
DPD-AI-Algorithms/app_evaluator,none,2017-02-20T10:12:00Z
DPD-AI-Algorithms/attribute-processor,none,2017-02-27T17:56:01Z
DPD-AI-Algorithms/menuontologycache,none,2017-04-27T09:05:44Z
DPD-AI-Algorithms/menu-ontology,none,2017-07-25T15:43:28Z
DPD-AI-Algorithms/DynamoLoader,none,2017-10-19T15:53:16Z
DPD-AI-Algorithms/PreviousHighRatingsLoader,none,2017-11-06T08:45:20Z
DPD-AI-Algorithms/osm-tools,none,2017-11-22T19:33:43Z
DPD-AI-Algorithms/api_ranking,none,2017-11-23T14:15:21Z
DPD-AI-Algorithms/customerToCuisine,none,2018-05-04T12:36:38Z
DPD-AI-Algorithms/tabpy-scripts,none,2018-05-08T12:48:28Z
DPD-AI-Algorithms/just-py,none,2018-05-14T14:33:41Z
DPD-AI-Algorithms/lambda_dataimporter,none,2018-06-04T15:48:43Z
DPD-AI-Algorithms/appengine-data-orchestrator,none,2018-06-15T15:02:05Z
DPD-AI-Algorithms/lib_geohash,none,2018-09-06T13:02:26Z
DPD-AI-Algorithms/RankingEventHandlers,none,2018-09-11T13:33:02Z
DPD-AI-Algorithms/lambda_egressconfigmanager,none,2018-10-01T11:16:21Z
DPD-AI-Algorithms/infra_egress,none,2018-10-16T08:29:11Z
DPD-AI-Algorithms/recruitment-test,none,2018-10-19T12:45:13Z
DPD-AI-Algorithms/dag_deliveryareageohash,none,2018-11-06T13:52:06Z
DPD-AI-Algorithms/dag_builder,none,2018-11-16T15:30:03Z
DPD-AI-Algorithms/api_cuisinerecommendation,none,2018-11-29T12:08:07Z
DPD-AI-Algorithms/knowledgebase,none,2018-11-29T13:46:21Z
DPD-AI-Algorithms/lib_polygeohash,none,2019-01-22T11:41:02Z
DPD-AI-Algorithms/dag_postcodegeohash,none,2019-01-22T14:40:00Z
DPD-AI-Algorithms/dish-search-offline-eval,none,2019-02-22T00:06:24Z
DPD-AI-Algorithms/JustEat.CrossSell.Api,none,2019-02-22T11:53:45Z
DPD-AI-Algorithms/BackgroundMessagePublisher,none,2019-03-07T11:30:37Z
DPD-AI-Algorithms/p13n_config_util,none,2019-03-21T15:18:52Z
DPD-AI-Algorithms/api_restaurantrecommendation,none,2019-04-12T12:36:04Z
DPD-AI-Algorithms/api_template,none,2019-05-02T09:57:31Z
DPD-AI-Algorithms/sm_master,none,2019-05-08T12:52:52Z
DPD-AI-Algorithms/sagemaker,none,2019-05-08T13:18:47Z
DPD-AI-Algorithms/api_template-hello-world-demo,none,2019-05-09T13:24:24Z
DPD-AI-Algorithms/dataimporter_menuontology,none,2019-05-21T16:14:09Z
DPD-AI-Algorithms/ansible_module_sagemaker,none,2019-05-31T14:26:01Z
DPD-AI-Algorithms/lambda_menuontimporter,none,2019-06-03T13:50:12Z
DPD-AI-Algorithms/JustEat.CrossSell.Lambda,none,2019-07-08T15:28:40Z
DPD-AI-Algorithms/pyspark_pandas_dummy,none,2019-07-19T12:08:25Z
DPD-AI-Algorithms/cli_dataimporter,none,2019-07-29T12:44:18Z
DPD-AI-Algorithms/JustEat.Extensions.Logging.Serilog,none,2019-07-30T10:42:15Z
DPD-AI-Algorithms/lambda_scm_tagger,none,2019-08-06T16:03:39Z
DPD-AI-Algorithms/feature_runbooks,none,2019-08-07T10:35:40Z
DPD-AI-Algorithms/mosimilarity,none,2019-08-08T10:34:13Z
DPD-AI-Algorithms/lambda_egressmetrics,none,2019-08-13T10:31:09Z
DPD-AI-Algorithms/JustEat.CrossSell.Contracts,none,2019-08-21T14:31:30Z
DPD-AI-Algorithms/PlatformMetadata,none,2019-08-28T16:31:36Z
DPD-AI-Algorithms/geohash_top_products,none,2019-08-29T13:06:10Z
DPD-AI-Algorithms/chrome_extension_predictive_search,none,2019-09-04T12:24:17Z
DPD-AI-Algorithms/lambda_productvectorimporter,none,2019-09-18T10:02:34Z
DPD-AI-Algorithms/menu-browser-recommender,none,2019-09-30T16:05:41Z
DPD-AI-Algorithms/AsgScaler,none,2019-10-02T08:19:47Z
DPD-AI-Algorithms/smexample,none,2019-10-03T14:38:28Z
DPD-AI-Algorithms/api_datamuxpoc,none,2019-10-15T15:35:26Z
DPD-AI-Algorithms/lambda_egressdatamux,none,2019-10-21T12:29:51Z
DPD-AI-Algorithms/files-to-gcs,none,2019-11-27T14:56:42Z
DPD-AI-Algorithms/dish-data-restaurant-gen,none,2019-11-28T16:41:52Z
DPD-AI-Algorithms/lambda_sphack,none,2019-12-05T10:26:54Z
DPD-AI-Algorithms/sagemaker-sparkml-serving-container,none,2020-01-23T14:14:29Z
DPD-AI-Algorithms/menu-ontology-classifiers,none,2020-01-29T10:22:15Z
DPD-AI-Algorithms/bandit-custom-spark-transformers,none,2020-01-29T15:38:19Z
DPD-AI-Algorithms/spark_scala_test,none,2020-01-29T16:47:39Z
DPD-AI-Algorithms/datamuxagent,none,2020-02-04T15:51:44Z
DPD-AI-Algorithms/crossselling_beta,none,2020-02-04T16:42:00Z
DPD-AI-Algorithms/corpus-stats,none,2020-02-05T14:49:21Z
DPD-AI-Algorithms/just-glove,none,2020-02-10T18:15:43Z
DPD-AI-Algorithms/just-translations,none,2020-02-12T15:11:06Z
DPD-AI-Algorithms/menu-ontology-utils,none,2020-02-12T15:25:35Z
DPD-AI-Algorithms/mlatscale-cddag-config-parser,none,2020-02-13T11:29:30Z
DPD-AI-Algorithms/crossselling_basedata,none,2020-02-13T13:50:59Z
DPD-AI-Algorithms/menu-ontology-data-downloader,none,2020-02-17T15:49:06Z
DPD-AI-Algorithms/utils_textsearch,none,2020-02-18T14:38:34Z
DPD-AI-Algorithms/menu-ontology-nlp,none,2020-02-25T14:30:12Z
DPD-AI-Algorithms/diagrams-as-code,none,2020-03-03T09:09:29Z
DPD-AI-Algorithms/infra_alerting,none,2020-03-12T10:25:03Z
DPD-AI-Algorithms/just-embeddings,none,2020-03-23T08:57:42Z
DPD-AI-Algorithms/api_restaurantrecommendation_infra,none,2020-03-25T10:25:53Z
DPD-AI-Algorithms/crosssellcli,none,2020-03-26T15:39:11Z
DPD-AI-Algorithms/just-fasttext,none,2020-03-27T10:12:33Z
DPD-AI-Algorithms/infra_datasci,none,2020-04-07T16:30:59Z
DPD-AI-Algorithms/lambda_datamuxdatavalidator,none,2020-04-27T15:36:02Z
DPD-AI-Algorithms/menu-ontology-product-standardiser,none,2020-05-06T14:35:41Z
DPD-AI-Algorithms/UserContextBuilder,none,2020-05-11T14:18:58Z
DPD-AI-Algorithms/search-evaluator,none,2020-05-19T09:05:34Z
DPD-AI-Algorithms/astro-ml-dag-build,none,2020-05-28T11:42:47Z
DPD-AI-Algorithms/query-expansion,none,2020-06-15T10:44:26Z
DPD-AI-Algorithms/kube-host-checker,none,2020-06-22T08:32:27Z
DPD-AI-Algorithms/lambda_banditscarousel,none,2020-06-22T13:58:22Z
